cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,transaction_id
80712190438,28-02-2014,1.0,1,3,399.0,83.79,1280.79,e-Shop,29258453508
270384,28-02-2014,5.0,3,2,799.0,167.79,1765.79,e-Shop,51750724947
273420,28-02-2014,6.0,5,1,1299.0,272.79,1571.79,TeleShop,93274880719
271509,28-02-2014,11.0,6,4,249.0,52.29,1048.29,e-Shop,51750724947
273420,27-02-2014,6.0,5,2,599.0,125.79,1323.79,TeleShop,93274880719
891652,27-02-2014,8.0,4,3,349.0,73.29,1120.29,MobileSales,76521489302
345267,26-02-2014,3.0,2,1,1499.0,314.79,1813.79,MBR,65432198710
652198,26-02-2014,9.0,5,2,499.0,104.79,1102.79,e-Shop,48392018472
784512,25-02-2014,2.0,1,4,299.0,62.79,1258.79,Flagship store,91827364509
367891,25-02-2014,7.0,3,3,649.0,136.29,2083.29,TeleShop,12345678901
456789,24-02-2014,10.0,6,2,199.0,41.79,439.79,MobileSales,45678901234
123456,24-02-2014,4.0,2,5,899.0,188.79,4683.79,e-Shop,78901234567
987654,23-02-2014,12.0,7,1,1999.0,419.79,2418.79,MBR,23456789012
246810,23-02-2014,1.0,1,3,399.0,83.79,1280.79,TeleShop,56789012345
135791,22-02-2014,5.0,3,2,799.0,167.79,1765.79,Flagship store,89012345678
753951,22-02-2014,6.0,5,4,1299.0,272.79,5468.79,e-Shop,34567890123
159357,21-02-2014,3.0,2,1,1499.0,314.79,1813.79,MobileSales,67890123456
357159,21-02-2014,9.0,5,3,499.0,104.79,1601.79,TeleShop,90123456789
852741,20-02-2014,2.0,1,2,299.0,62.79,661.79,MBR,32109876543
963852,20-02-2014,7.0,3,5,649.0,136.29,3381.29,e-Shop,65432109876
80712190438,28-02-2014,1.0,1,3,399.0,83.79,1280.79,e-Shop,29258453508
270384,19-02-2014,5.0,3,,799.0,167.79,,e-Shop,51750724948
273420,19-02-2014,6.0,5,1,1299.0,272.79,1571.79,TeleShop,93274880720
271509,19-02-2014,11.0,6,4,249.0,52.29,1048.29,e-Shop,51750724949
273420,18-02-2014,,5,2,599.0,125.79,1323.79,TeleShop,93274880721
891652,18-02-2014,8.0,4,3,349.0,73.29,1120.29,,76521489303
345267,18-02-2014,3.0,2,1,1499.0,314.79,1813.79,MBR,65432198711
652198,17-02-2014,9.0,5,2,,104.79,,e-Shop,48392018473
784512,17-02-2014,2.0,1,4,299.0,62.79,1258.79,Flagship store,91827364510
367891,17-02-2014,7.0,3,3,649.0,,2083.29,TeleShop,12345678902
456789,16-02-2014,10.0,6,2,199.0,41.79,439.79,MobileSales,45678901235
123456,16-02-2014,4.0,2,5,899.0,188.79,4683.79,e-Shop,78901234568
987654,16-02-2014,12.0,7,1,1999.0,419.79,2418.79,MBR,23456789013
246810,15-02-2014,1.0,,3,399.0,83.79,1280.79,TeleShop,56789012346
135791,15-02-2014,5.0,3,2,799.0,167.79,1765.79,Flagship store,89012345679
753951,15-02-2014,6.0,5,4,1299.0,272.79,5468.79,e-Shop,34567890124
159357,14-02-2014,3.0,2,1,1499.0,314.79,1813.79,MobileSales,67890123457
357159,14-02-2014,9.0,5,3,499.0,104.79,1601.79,TeleShop,90123456790
852741,14-02-2014,2.0,1,2,299.0,62.79,661.79,MBR,32109876544
963852,13-02-2014,7.0,3,5,649.0,136.29,3381.29,e-Shop,65432109877
543210,13-02-2014,4.0,2,3,899.0,188.79,2885.79,,31415926535
678901,13-02-2014,8.0,4,2,349.0,73.29,771.29,Flagship store,27182818284
234567,12-02-2014,1.0,1,4,399.0,83.79,1679.79,TeleShop,16180339887
789012,12-02-2014,5.0,3,1,799.0,167.79,966.79,MobileSales,14142135623
345678,12-02-2014,6.0,5,,1299.0,272.79,,e-Shop,73205080756
901234,11-02-2014,3.0,2,5,1499.0,314.79,7809.79,MBR,46692016091
567890,11-02-2014,9.0,5,3,499.0,104.79,1601.79,TeleShop,24162562563
123789,11-02-2014,2.0,1,2,299.0,62.79,661.79,e-Shop,36055512754
456123,10-02-2014,10.0,6,1,199.0,41.79,240.79,Flagship store,44721359549
789456,10-02-2014,4.0,2,4,899.0,188.79,3784.79,MobileSales,56568542494
852741,10-02-2014,2.0,1,2,299.0,62.79,661.79,MBR,32109876544
963852,09-02-2014,7.0,3,,649.0,136.29,,e-Shop,65432109878
654321,09-02-2014,5.0,3,1,799.0,167.79,966.79,TeleShop,48101635001
987123,09-02-2014,6.0,5,3,1299.0,272.79,4169.79,MBR,56302753022
321654,08-02-2014,11.0,6,2,249.0,52.29,550.29,e-Shop,28495678123
654987,08-02-2014,3.0,2,5,1499.0,314.79,7809.79,MobileSales,71371363845
159951,08-02-2014,9.0,5,1,499.0,104.79,603.79,Flagship store,60828095612
357753,07-02-2014,2.0,1,4,299.0,62.79,1258.79,TeleShop,61677651997
753357,07-02-2014,7.0,3,2,649.0,136.29,1434.29,e-Shop,38872689889
951159,07-02-2014,10.0,6,1,199.0,41.79,240.79,MBR,32385747079
246802,06-02-2014,4.0,2,3,899.0,188.79,2885.79,TeleShop,92756853748
468024,06-02-2014,12.0,7,2,1999.0,419.79,4417.79,MobileSales,39482569045
680246,06-02-2014,1.0,1,5,399.0,83.79,2078.79,,45679812375
802468,05-02-2014,5.0,3,4,799.0,167.79,3363.79,e-Shop,20145236998
531642,05-02-2014,6.0,5,1,1299.0,272.79,1571.79,MBR,33364896012
975310,05-02-2014,3.0,2,3,1499.0,314.79,4811.79,Flagship store,90429704172
420864,04-02-2014,9.0,5,2,499.0,104.79,1102.79,TeleShop,99621474421
864209,04-02-2014,2.0,1,,299.0,62.79,,e-Shop,87752135678
308751,04-02-2014,7.0,3,4,649.0,136.29,2732.29,MobileSales,70226962457
753086,03-02-2014,,6,3,199.0,41.79,639.79,MBR,10957389264
357159,21-02-2014,9.0,5,3,499.0,104.79,1601.79,TeleShop,90123456789
642086,03-02-2014,4.0,2,1,899.0,188.79,1087.79,e-Shop,79586261985
875421,03-02-2014,8.0,4,5,349.0,73.29,1818.29,Flagship store,70123795241
086753,02-02-2014,1.0,1,2,399.0,83.79,881.79,TeleShop,23461792643
219864,02-02-2014,5.0,3,3,799.0,167.79,2564.79,MobileSales,90175362480
753951,02-02-2014,6.0,5,4,1299.0,272.79,5468.79,e-Shop,34567890124
987420,01-02-2014,3.0,2,1,,314.79,,MBR,86428172953
654783,01-02-2014,9.0,5,2,499.0,104.79,1102.79,TeleShop,37659401824
321456,01-02-2014,2.0,1,4,299.0,62.79,1258.79,e-Shop,53697421089
789012,01-02-2014,7.0,3,5,649.0,136.29,3381.29,Flagship store,97835264170
456723,31-01-2014,10.0,6,3,199.0,41.79,639.79,MobileSales,86042597135
890765,31-01-2014,4.0,2,1,899.0,188.79,1087.79,,99605321740
